imdb_id,movie_title
tt0111161,The Shawshank Redemption
tt0068646,The Godfather
tt0071562,The Godfather: Part II
tt0468569,The Dark Knight
tt0050083,12 Angry Men
tt0108052,Schindler's List
tt0167260,The Lord of the Rings: The Return of the King
tt0110912,Pulp Fiction
tt0060196,"The Good, the Bad and the Ugly"
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0137523,Fight Club
tt0109830,Forrest Gump
tt1375666,Inception
tt0080684,Star Wars: Episode V - The Empire Strikes Back
tt0167261,The Lord of the Rings: The Two Towers
tt0133093,The Matrix
tt0099685,Goodfellas
tt0073486,One Flew Over the Cuckoo's Nest
tt0047478,Seven Samurai
tt0114369,Se7en
tt0118799,Life Is Beautiful
tt0317248,City of God
tt0102926,The Silence of the Lambs
tt0038650,It's a Wonderful Life
tt0076759,Star Wars: Episode IV - A New Hope
tt0120815,Saving Private Ryan
tt0245429,Spirited Away
tt0120689,The Green Mile
tt6751668,Parasite
tt0816692,Interstellar
tt8503618,Hamilton
tt0110413,Léon: The Professional
tt0114814,The Usual Suspects
tt0056058,Harakiri
tt0110357,The Lion King
tt0088763,Back to the Future
tt0253474,The Pianist
tt0103064,Terminator 2: Judgment Day
tt0120586,American History X
tt0027977,Modern Times
tt0054215,Psycho
tt0172495,Gladiator
tt0021749,City Lights
tt0407887,The Departed
tt1675434,The Intouchables
tt2582802,Whiplash
tt0482571,The Prestige
tt0095327,Grave of the Fireflies
tt0064116,Once Upon a Time in the West
tt0034583,Casablanca
tt0095765,Cinema Paradiso
tt0047396,Rear Window
tt0078748,Alien
tt0078788,Apocalypse Now
tt0209144,Memento
tt0082971,Raiders of the Lost Ark
tt0032553,The Great Dictator
tt7286456,Joker
tt1853728,Django Unchained
tt0405094,The Lives of Others
tt0050825,Paths of Glory
tt0081505,The Shining
tt0910970,WALL·E
tt4154756,Avengers: Infinity War
tt0043014,Sunset Blvd.
tt0119698,Princess Mononoke
tt0051201,Witness for the Prosecution
tt4633694,Spider-Man: Into the Spider-Verse
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0364569,Oldboy
